"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/18/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","3","0","0","","","","","2","1","","6"
"721","Air Force","09/25/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","2","0","0","","","","","1","0","","2"
"721","Air Force","10/02/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","","","","2"
"721","Air Force","10/09/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","7","7","0","0","","","","","","","","7"
"721","Air Force","10/16/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","3","2","","7"
"721","Air Force","10/23/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","","","","1"
"721","Air Force","10/30/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","1","1","","5"
"721","Air Force","11/06/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","6","0","0","","","","","","","","6"
"721","Air Force","11/13/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","5","0","0","","","","","1","0","","5"
"721","Air Force","09/04/10","40","SOUTHWORTH","RYAN","2","6","0","6","0","","","","","","","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/11/10","40","SOUTHWORTH","RYAN","2","7","0","7","0","","","","","","","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","40","SOUTHWORTH","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","8","0","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","40","SOUTHWORTH","RYAN","4","17","0","17","1","","","","","","","4","17","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/18/10","40","SOUTHWORTH","RYAN","5","18","0","18","0","","","","","","","5","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","42","TEW","JARED","13","65","0","65","0","","","","","","","13","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/11/10","42","TEW","JARED","17","77","0","77","0","","","","","","","17","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","42","TEW","JARED","21","93","0","93","1","","","","","","","21","93","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/25/10","42","TEW","JARED","27","136","0","136","1","","","","","","","27","136","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/02/10","42","TEW","JARED","17","111","0","111","0","","","","","","","17","111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","42","TEW","JARED","10","44","2","42","1","","","","","","","10","42","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/16/10","42","TEW","JARED","5","16","0","16","0","","","","","","","5","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","42","TEW","JARED","18","59","0","59","1","","","","","","","18","59","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
